id,category_bn,comment_bn,stage_bn,response_bn,class,topic_key
45086,বাইপোলার,"একই দিনে মন উঁচুনিচু হয় বাসায় ফিরেই টের পাই, এরপর দিনের বেশিরভাগ সময় ছায়ার মতো ঘোরে; এতে ছোট সিদ্ধান্ত নিতে কষ্ট হয়।",তীব্র,কাজকর্ম ব্যাহত হলে আশেপাশের সহায়তা নিন ও বিশ্রাম গ্রহণ করুন।,Bipolar,
90768,সিজোফ্রেনিয়া,রান্নাঘরে কাজ করতে করতে ঘুম কম হলে বেশি হয় দুই-তিনজনের কথাবার্তা শুনি বলে মনে হয়—এই সময় হৃদস্পন্দন বেড়ে যায়—পরিস্থিতি বদলালে কমে—ফলে নিজের যত্ন নেওয়া কমে যায়—জানালা/দরজা বারবার দেখি।,মাঝারি,"ভয়েস এলে গ্রাউন্ডিং ব্যবহার করুন—কক্ষের ৫টি জিনিস চিহ্নিত করুন, নাম বলুন; ফলো-আপে উপসর্গের সময়/ট্রিগার নোট নিয়ে যান।",Schizophrenia,
1194,ডিপ্রেশন,"ভিড় বাসে দাঁড়িয়ে দিনের মধ্যে কয়েকবার টের পাই অকারণে মন ভারী হয়ে থাকে, যা কিছুক্ষণ থাকে; ফলে কথা বলতে ইচ্ছে করে না।",মাঝারি,"দৈনিক ২০–৩০ মিনিট হাঁটা, সূর্যালোক ও নিয়মিত রুটিন মন হালকা করতে সাহায্য করে।",Depression,
32450,প্যানিক অ্যাটাক,বৃষ্টি হলে শ্বাস আটকে যায় এমনভাবে হয় যে কাজকর্ম ব্যাহত হয়; তারপর অল্প সময়ের মধ্যে কমে যায়।,তীব্র,"শ্বাস নিতে গুরুতর কষ্ট হলে জানালা খুলে বাতাস চলাচল রাখুন, শরীর স্থির রাখুন এবং প্রয়োজনে জরুরি বিভাগে যোগাযোগ করুন।",Panic_attack,
78058,আত্মহত্যামুখী প্রবণতা,"ভিড় বাসে দাঁড়িয়ে হঠাৎ মনে হয় কোনো কিছুতে ভালো লাগা ফিরে আসে না, যা কিছু সময় পর হালকা হয়; ফলে কারও সাথে কথা বলতে ইচ্ছে করে না।",তীব্র,"এই অনুভূতিটা গুরুতর এবং অবহেলা করা যাবে না। এখনই নিরাপদ জায়গায় থাকুন, বিশ্বস্ত কারো সাথে কথা বলুন এবং তৎক্ষণাৎ পেশাদার সহায়তা নিন।",Suicidal_tendency,
83912,সিজোফ্রেনিয়া,অফিসে ডেস্কে বসলে পরপর কয়েকদিন একইভাবে হয় নাম ধরে ডাক শোনার মতো লাগে—এই সময় শ্বাস ছোট হয়ে যায়—ধীরে ধীরে কমে—ফলে কথা বলতে অসুবিধা হয়—কথা বলা এড়িয়ে চলি।,তীব্র,"ভয়েস তীব্র হলে নিরাপদ স্থানে থাকুন, একা থাকবেন না; শ্বাস ধীরে আনুন এবং দ্রুত পেশাদারের সাথে যোগাযোগ করুন। ওষুধ/ফলো-আপ পরিকল্পনা মেনে চলা গুরুত্বপূর্ণ।",Schizophrenia,
76608,ডেল্যুশনাল লাভ ডিসঅর্ডার (এরোটোমানিয়া),বিকেলে ছাদে দাঁড়ালে কেউ কথা বললেই তীব্র হয় কমেন্টে কিছু শব্দ—আড়াল করে বলল—এই সময় হাত কাঁপে—দু-এক ঘণ্টা ঘোরে—ফলে রুটিন এলোমেলো—অতিরিক্ত ভাবনা হলে শ্বাস ধীরে আনি।,মাঝারি,রুটিন ও ঘুম ঠিক রাখুন; উপসর্গ চললে পেশাদারি মূল্যায়ন নিন।,Delusional_love,online_social
31868,সোশ্যাল অ্যাংজাইটি ডিসঅর্ডার,অফিসের করিডরে অকারণে মাথায় আসে শুরুর লাইন মুখে আটকে যায়—মাথায় আসে এই মুহূর্তে বেরিয়ে যেতে হবে। এই সময় শ্বাস ছোট হয়ে আসে। কিছুক্ষণ স্থায়ী হয়। ফলে ক্যারিয়ার টাস্ক বিলম্বিত হয়। চোখে চোখ রেখে কথা এড়িয়ে চলি।,হালকা,হালকা ভয় হলে ৩০ সেকেন্ডের ইনট্রো অনুশীলন করুন এবং ভঙ্গি সোজা রাখুন।,Social_anxiety,
88574,পোস্টপার্টাম ডিপ্রেশন (প্রসব-পরবর্তী বিষণ্নতা),শিশু কাঁদতে শুরু করলে থাকলে পাম্পিং সময়মতো হয় না বেশি হয়; পিঠ/ঘাড় টান ধরে অনুভব করি; দু-এক ঘণ্টা টিকে থাকে; ফলে খাওয়া-ঘুমের রুটিন ভেঙে যায়; মাঝে মাঝে দায়িত্ব ভাগ না করে সব নিজেই করতে চাই।,মাঝারি,রাতে একটি ফিড পার্টনার/পরিবার ভাগ করে নিন।,Postpartum_depression,feeding_breast_lactation
39832,ডিপ্রেশন,"সবকিছু অন্ধকার মনে হয় ভিড় বাসে দাঁড়িয়ে টের পাই, এরপর ধীরে ধীরে কমে; এতে কাজে মন বসে না।",মাঝারি,ছোট লক্ষ্য নির্ধারণ করুন—৩০ মিনিটের কাজ দিয়ে শুরু করুন; সাপোর্টে থাকুন।,Depression,
